74 343 287 393 784 225 565 66 349 710 | 931 386 528 116 280 131 938 84 523 872 | 9 22 553 56 318 46 494 140 987 334 | 506 156 900 271 173 128 559 893 765 792 | 567 943 439 49 117 100 895 441 801 433 | 266 363 5 285 303 840 514 945 910 380 | 896 639 851 822 871 352 740 493 608 887 | 753 714 892 157 136 430 297 467 350 162 | 454 229 319 918 300 751 741 37 767 384 | 14 370 174 371 504 184 127 295 351 110 
959 846 108 924 292 486 757 537 237 630 | 691 313 969 563 975 510 955 709 950 329 | 688 590 554 340 73 697 905 489 854 749 | 449 781 208 610 197 929 879 569 19 462 | 336 357 772 882 365 520 614 275 680 638 | 376 759 535 196 286 621 339 111 889 666 | 657 62 481 415 483 862 3 952 860 39 | 604 552 712 531 913 206 175 570 261 575 | 216 88 389 431 331 962 737 816 783 255 | 41 254 612 668 30 59 119 55 80 881 
594 760 786 32 1 556 374 790 923 979 | 566 855 667 725 167 864 664 917 367 970 | 224 758 327 530 505 645 244 43 775 258 | 344 841 112 682 69 458 669 823 373 964 | 588 605 48 410 779 990 527 283 777 980 | 932 780 341 603 960 470 665 844 482 577 | 135 965 375 902 829 377 800 629 542 922 | 928 903 728 411 832 539 355 547 888 310 | 396 164 316 324 625 161 103 215 641 730 | 356 617 961 687 113 834 597 579 159 496 
444 450 873 469 933 984 789 609 68 400 | 654 497 320 408 548 838 502 364 576 392 | 673 911 782 47 435 414 908 643 953 189 | 149 607 222 242 810 86 8 457 500 867 | 914 217 886 72 811 560 972 409 390 265 | 391 195 958 623 188 845 311 245 190 632 | 153 947 317 857 368 210 817 312 681 733 | 11 580 650 82 795 29 564 233 919 87 | 437 71 260 627 785 484 904 732 837 330 | 618 519 515 869 843 58 468 587 181 743 
803 719 402 246 476 272 634 954 79 745 | 326 76 935 599 538 464 804 337 509 976 | 920 426 717 880 736 290 228 769 148 693 | 35 362 951 221 256 940 359 235 201 20 | 274 847 250 123 866 170 926 199 543 635 | 61 60 698 571 628 770 183 863 429 721 | 90 899 956 223 695 974 132 491 114 185 | 67 696 65 133 44 94 982 427 660 25 | 814 825 778 0 278 77 2 738 501 187 | 555 412 651 95 147 460 302 419 262 763 
545 480 193 989 28 916 761 791 150 557 | 143 314 672 118 985 584 191 707 859 15 | 218 524 354 656 536 671 120 684 36 894 | 734 438 598 241 16 551 202 130 511 307 | 420 428 703 942 675 288 45 102 138 744 | 915 96 126 762 768 18 591 137 798 172 | 562 842 478 293 601 104 209 602 284 490 | 655 755 885 23 452 485 702 404 226 31 | 622 333 253 993 764 998 249 40 997 897 | 298 906 270 263 38 573 97 291 661 716 
397 472 831 236 109 54 853 323 870 360 | 726 463 338 676 819 192 648 447 821 267 | 526 7 807 453 658 640 418 448 220 686 | 451 830 231 296 53 512 387 425 735 747 | 750 227 424 382 268 852 568 865 70 101 | 891 24 304 999 637 966 4 405 63 518 | 413 168 165 620 115 631 308 820 921 912 | 240 17 930 251 179 479 50 642 348 883 | 606 558 477 861 361 689 809 541 322 416 | 611 401 925 678 388 394 198 443 670 694 
977 647 592 205 10 875 706 309 963 856 | 850 991 507 646 325 203 828 901 456 874 | 692 589 988 214 849 742 279 281 615 909 | 774 455 169 27 723 508 142 522 6 89 | 152 826 787 836 793 264 516 705 593 659 | 756 503 328 21 273 204 711 937 81 166 | 474 178 440 395 321 335 176 839 582 151 | 381 773 466 713 51 239 105 407 488 346 | 624 269 949 994 98 802 788 771 578 544 | 813 581 52 876 64 957 247 154 200 385 
690 234 939 776 827 534 890 934 878 332 | 971 986 475 797 858 752 944 163 529 33 | 699 213 345 301 995 877 662 746 572 160 | 595 812 487 129 808 727 748 182 720 461 | 372 600 93 207 75 766 583 315 868 704 | 616 252 796 967 125 739 663 432 907 158 | 106 459 513 546 366 884 436 282 677 445 | 996 708 353 799 107 230 652 585 653 134 | 144 492 613 259 306 848 724 299 378 155 | 731 973 379 805 983 421 78 194 442 550 
92 968 495 718 561 212 276 383 139 946 | 473 243 422 948 626 85 586 644 99 465 | 124 729 596 498 257 700 177 649 434 715 | 927 146 122 941 521 619 277 532 238 636 | 219 898 754 701 815 42 936 417 91 471 | 342 806 248 981 294 525 358 83 818 549 | 423 145 406 794 446 674 12 180 141 992 | 517 289 232 403 540 186 978 57 305 633 | 398 499 171 835 683 833 347 824 679 369 | 26 685 13 399 574 533 722 121 211 34 
